1-gram,Frequency,Cluster
fight,648,2
administration,638,2
democracy,631,2
made,625,2
tax,616,2
measures,613,2
life,611,2
justice,602,2
therefore,600,2
oppose,598,2
civil,597,2
based,597,2
peace,592,2
possible,591,2
energy,587,2
effective,581,2
criminal,570,2
private,567,2
change,566,2
including,562,2
german,561,2
forces,559,2
parties,557,2
trade,557,2
police,553,2
first,549,2
party,10672,3
must,2396,3
rights,2264,3
people,2204,3
social,2060,3
society,1606,3
policy,1548,3
want,1547,3
security,1527,3
public,1516,3
citizens,1473,3
state,1466,3
support,1381,3
ensure,1374,3
country,1350,3
law,1282,3
also,1279,3
freedom,1237,3
free,1192,3
government,1186,3
world,1163,3
political,1162,3
peace,1157,3
right,1152,3
human,1140,3
national,1110,3
work,1090,3
new,1053,3
life,1006,3
democratic,977,3
development,967,3
international,938,3
economic,926,3
democracy,902,3
make,892,3
continue,861,3
system,848,3
future,846,3
health,831,3
equal,820,3
protection,794,3
cultural,784,3
education,780,3
without,768,3
values,768,3
services,767,3
strong,732,3
nation,718,3
us,715,3
one,712,3
based,706,3
every,705,3
culture,695,3
justice,692,3
states,684,3
believe,679,3
european,674,3
way,662,3
good,624,3
order,618,3
fundamental,609,3
foreign,590,3
civil,588,3
responsibility,576,3
care,571,3
cooperation,568,3
respect,567,3
need,566,3
important,563,3
fair,562,3
principles,562,3
protect,558,3
committed,555,3
united,555,3
effective,548,3
interests,533,3
environment,531,3
live,526,3
nations,523,3
american,510,3
basis,509,3
common,504,3
use,501,3
policies,501,3
possible,500,3
institutions,500,3
participation,496,3
local,493,3
time,493,3
individual,489,3
basic,488,3
needs,488,3
countries,487,3
europe,487,3
quality,485,3
service,483,3
well,482,3
relations,480,3
federal,480,3
understanding,477,3
party,15147,4
tax,3916,4
must,2797,4
new,2625,4
public,2615,4
social,2570,4
want,2434,4
economic,2058,4
also,2016,4
government,1982,4
people,1938,4
system,1887,4
policy,1739,4
economy,1738,4
support,1708,4
work,1672,4
energy,1619,4
development,1553,4
ensure,1474,4
make,1473,4
state,1451,4
income,1379,4
reduce,1316,4
sector,1212,4
services,1198,4
private,1181,4
market,1158,4
financial,1154,4
local,1152,4
health,1143,4
use,1105,4
national,1071,4
security,1059,4
companies,1048,4
increase,1041,4
need,1037,4
employment,1021,4
federal,977,4
order,952,4
future,946,4
time,942,4
investment,933,4
housing,917,4
production,910,4
way,907,4
citizens,906,4
pension,895,4
pay,883,4
insurance,872,4
growth,870,4
jobs,868,4
end,865,4
country,846,4
workers,841,4
reform,836,4
trade,834,4
would,824,4
provide,822,4
costs,819,4
small,816,4
resources,797,4
working,792,4
law,787,4
fair,782,4
without,782,4
policies,781,4
protection,779,4
better,779,4
business,753,4
countries,751,4
areas,747,4
create,737,4
free,724,4
care,721,4
education,718,4
measures,709,4
rights,703,4
one,698,4
european,696,4
help,687,4
taxes,685,4
industry,684,4
world,681,4
conditions,677,4
climate,672,4
agricultural,662,4
improve,655,4
change,654,4
benefits,652,4
high,639,4
society,636,4
made,635,4
benefit,630,4
take,630,4
rates,629,4
businesses,620,4
capital,619,4
unemployment,606,4
needs,602,4
labour,602,4
party,11059,5
years,2713,5
new,2331,5
million,2315,5
billion,2233,5
people,2157,5
percent,2035,5
year,1997,5
tax,1987,5
increased,1740,5
per,1613,5
increase,1505,5
support,1421,5
government,1348,5
public,1326,5
education,1294,5
social,1270,5
health,1185,5
number,1175,5
income,1168,5
country,1089,5
first,1057,5
national,1047,5
rate,1027,5
work,989,5
also,973,5
every,933,5
one,916,5
services,898,5
development,889,5
period,866,5
time,862,5
system,853,5
care,837,5
thousand,812,5
jobs,807,5
total,802,5
2002,798,5
sector,795,5
investment,783,5
since,773,5
end,768,5
children,762,5
tl,761,5
euros,744,5
provide,741,5
economic,721,5
employment,714,5
energy,697,5
state,696,5
must,690,5
want,688,5
pension,678,5
within,675,5
ensure,670,5
world,670,5
last,658,5
economy,653,5
citizens,641,5
service,625,5
federal,620,5
women,616,5
make,615,5
two,610,5
high,605,5
housing,599,5
local,597,5
families,592,5
young,590,5
pay,589,5
average,589,5
cent,589,5
countries,583,5
private,572,5
budget,570,5
training,570,5
next,569,5
least,564,5
insurance,563,5
many,557,5
security,557,5
1,556,5
made,552,5
provided,542,5
working,541,5
projects,539,5
10,535,5
continue,525,5
three,523,5
20,522,5
need,518,5
would,509,5
growth,505,5
project,505,5
family,503,5
students,501,5
50,500,5
benefit,498,5
policy,497,5
help,495,5
party,5463,6
people,2376,6
many,1466,6
government,1448,6
social,1357,6
years,1190,6
public,1187,6
new,1104,6
country,1077,6
economic,1056,6
health,1004,6
also,998,6
state,985,6
system,983,6
must,937,6
work,882,6
policy,872,6
economy,865,6
time,848,6
tax,725,6
one,717,6
care,717,6
crisis,714,6
world,703,6
national,693,6
even,691,6
education,680,6
society,668,6
political,665,6
services,616,6
development,611,6
without,593,6
citizens,580,6
want,576,6
high,576,6
need,571,6
security,570,6
problems,564,6
women,561,6
would,544,6
labour,535,6
children,532,6
administration,527,6
policies,506,6
countries,506,6
poverty,497,6
unemployment,493,6
financial,486,6
power,481,6
jobs,479,6
european,478,6
sector,477,6
market,477,6
today,475,6
federal,474,6
support,472,6
life,471,6
us,464,6
future,459,6
make,451,6
eu,451,6
every,450,6
way,444,6
often,444,6
workers,439,6
private,438,6
governments,437,6
families,434,6
rights,429,6
housing,428,6
needs,425,6
companies,422,6
young,421,6
number,416,6
working,416,6
lack,415,6
american,415,6
become,410,6
still,410,6
since,404,6
change,402,6
result,402,6
pay,390,6
resources,388,6
law,387,6
energy,386,6
current,386,6
made,380,6
due,377,6
greek,372,6
international,370,6
end,370,6
areas,370,6
last,369,6
states,367,6
problem,367,6
money,364,6
local,363,6
increase,353,6
much,351,6
party,10558,7
must,2347,7
european,2087,7
new,2037,7
public,2033,7
development,1796,7
policy,1661,7
national,1520,7
want,1386,7
system,1375,7
also,1308,7
government,1295,7
ensure,1230,7
local,1199,7
law,1192,7
social,1183,7
state,1165,7
eu,1152,7
protection,1054,7
security,1049,7
support,1029,7
services,985,7
rights,944,7
health,916,7
international,913,7
management,899,7
areas,853,7
order,834,7
use,830,7
federal,819,7
work,790,7
control,787,7
energy,741,7
country,738,7
framework,734,7
institutions,714,7
environmental,713,7
economic,706,7
regional,698,7
information,696,7
resources,694,7
education,691,7
citizens,683,7
cooperation,681,7
implementation,675,7
necessary,663,7
europe,662,7
water,653,7
political,652,7
within,647,7
agricultural,637,7
research,627,7
union,627,7
sector,606,7
needs,602,7
make,596,7
level,594,7
need,586,7
foreign,579,7
effective,578,7
established,571,7
establishment,568,7
cultural,568,7
measures,563,7
well,554,7
production,548,7
projects,548,7
future,547,7
strengthen,545,7
environment,543,7
countries,541,7
service,536,7
planning,536,7
made,533,7
financial,531,7
based,527,7
infrastructure,524,7
legal,519,7
states,517,7
people,516,7
reform,513,7
administration,508,7
continue,507,7
establish,504,7
council,501,7
develop,501,7
society,501,7
policies,500,7
parliament,490,7
change,490,7
standards,486,7
participation,480,7
take,471,7
time,471,7
role,465,7
climate,463,7
legislation,462,7
creation,458,7
important,451,7
world,451,7
