1-gram,Frequency,Cluster
regional,558,2
future,555,2
information,554,2
world,553,2
strengthen,552,2
society,548,2
level,537,2
management,535,2
continue,532,2
parliament,526,2
effective,525,2
implementation,520,2
health,516,2
democratic,506,2
legal,504,2
needs,498,2
time,498,2
cultural,490,2
well,489,2
areas,488,2
financial,488,2
council,487,2
human,485,2
administration,483,2
based,480,2
made,480,2
take,478,2
resources,465,2
important,462,2
established,461,2
reform,460,2
process,455,2
change,454,2
participation,450,2
role,446,2
civil,446,2
forces,443,2
way,439,2
service,438,2
establishment,431,2
measures,424,2
policies,419,2
trade,419,2
research,417,2
planning,415,2
sector,413,2
basis,410,2
power,408,2
first,405,2
common,403,2
establish,400,2
right,397,2
party,10745,3
years,2687,3
new,2297,3
million,2295,3
billion,2207,3
people,2120,3
percent,2026,3
year,1976,3
tax,1942,3
increased,1719,3
per,1583,3
increase,1474,3
support,1367,3
public,1319,3
government,1311,3
education,1287,3
social,1245,3
health,1168,3
number,1165,3
income,1140,3
country,1068,3
first,1030,3
national,1025,3
rate,1012,3
work,970,3
also,936,3
every,914,3
one,905,3
services,878,3
development,857,3
period,849,3
time,847,3
care,828,3
system,825,3
thousand,803,3
jobs,802,3
total,795,3
2002,795,3
investment,783,3
sector,769,3
since,762,3
end,758,3
tl,754,3
children,752,3
euros,731,3
provide,725,3
economic,708,3
employment,703,3
energy,697,3
state,688,3
must,680,3
pension,664,3
want,660,3
within,658,3
world,656,3
ensure,648,3
last,643,3
citizens,642,3
economy,638,3
federal,614,3
service,607,3
women,604,3
two,601,3
make,597,3
local,593,3
high,592,3
average,588,3
housing,586,3
families,586,3
cent,582,3
young,581,3
pay,580,3
countries,579,3
training,563,3
next,562,3
budget,560,3
private,557,3
least,556,3
many,556,3
insurance,549,3
security,549,3
1,545,3
made,544,3
projects,537,3
working,534,3
provided,532,3
10,528,3
20,520,3
three,515,3
continue,515,3
need,509,3
would,505,3
growth,498,3
project,497,3
50,495,3
students,493,3
benefit,489,3
policy,489,3
unemployment,487,3
help,487,3
party,9949,4
rights,2148,4
must,2121,4
people,2101,4
social,1989,4
society,1505,4
public,1485,4
citizens,1427,4
want,1408,4
state,1395,4
security,1372,4
policy,1364,4
ensure,1314,4
support,1290,4
country,1225,4
law,1197,4
free,1184,4
freedom,1182,4
also,1117,4
right,1116,4
peace,1069,4
government,1066,4
human,1055,4
political,1055,4
world,1019,4
work,1015,4
national,998,4
life,975,4
new,916,4
democratic,895,4
health,877,4
development,859,4
economic,841,4
equal,824,4
make,822,4
system,821,4
democracy,818,4
international,815,4
education,783,4
services,783,4
continue,772,4
without,767,4
cultural,743,4
future,740,4
every,698,4
values,688,4
protection,681,4
one,679,4
based,667,4
nation,666,4
culture,665,4
strong,658,4
justice,653,4
us,637,4
believe,617,4
states,607,4
way,598,4
care,588,4
good,578,4
fundamental,577,4
order,574,4
civil,554,4
fair,544,4
responsibility,532,4
respect,532,4
foreign,509,4
european,508,4
cooperation,507,4
principles,506,4
effective,506,4
need,505,4
live,500,4
committed,498,4
important,496,4
united,491,4
protect,488,4
participation,484,4
basic,476,4
institutions,474,4
service,471,4
nations,469,4
interests,465,4
american,465,4
individual,464,4
quality,463,4
basis,461,4
local,461,4
use,460,4
possible,456,4
policies,455,4
needs,452,4
principle,450,4
time,447,4
legal,446,4
everyone,444,4
understanding,440,4
federal,440,4
countries,439,4
necessary,438,4
common,435,4
party,5301,5
people,2305,5
many,1444,5
government,1376,5
social,1338,5
years,1164,5
public,1144,5
country,1050,5
new,1047,5
economic,1023,5
health,989,5
also,971,5
state,958,5
system,951,5
must,890,5
work,857,5
economy,831,5
policy,829,5
time,818,5
care,703,5
crisis,700,5
one,692,5
world,681,5
tax,676,5
even,671,5
national,670,5
education,664,5
political,649,5
society,645,5
services,612,5
development,595,5
without,574,5
citizens,566,5
high,565,5
security,555,5
women,553,5
problems,551,5
need,551,5
want,548,5
would,529,5
children,524,5
labour,520,5
countries,499,5
administration,495,5
poverty,488,5
policies,485,5
financial,479,5
unemployment,478,5
power,474,5
market,472,5
jobs,465,5
sector,465,5
support,462,5
today,459,5
life,457,5
european,450,5
federal,449,5
future,447,5
every,444,5
us,444,5
often,437,5
make,434,5
workers,432,5
eu,432,5
way,431,5
rights,427,5
families,425,5
governments,424,5
housing,419,5
private,418,5
lack,414,5
companies,412,5
needs,410,5
young,410,5
number,405,5
working,403,5
become,400,5
result,398,5
since,397,5
still,397,5
american,394,5
change,381,5
pay,378,5
resources,377,5
current,376,5
law,374,5
energy,372,5
due,372,5
made,364,5
greek,362,5
problem,360,5
international,357,5
last,357,5
states,356,5
end,356,5
areas,353,5
local,353,5
money,348,5
poor,342,5
especially,341,5
party,15065,6
new,3399,6
development,2949,6
support,2116,6
economic,2072,6
want,2039,6
public,1963,6
social,1943,6
also,1799,6
economy,1753,6
people,1697,6
increase,1691,6
energy,1655,6
country,1611,6
education,1516,6
must,1468,6
services,1398,6
ensure,1396,6
policy,1346,6
research,1329,6
world,1296,6
national,1276,6
sector,1263,6
make,1256,6
infrastructure,1204,6
growth,1199,6
international,1176,6
work,1160,6
local,1120,6
investment,1107,6
cultural,1095,6
system,1091,6
future,1073,6
quality,1054,6
continue,1050,6
production,1036,6
use,1018,6
technology,987,6
society,969,6
tourism,969,6
create,960,6
important,955,6
cooperation,947,6
opportunities,946,6
industry,939,6
order,934,6
resources,932,6
government,931,6
strengthen,903,6
high,882,6
areas,875,6
european,861,6
employment,854,6
improve,847,6
business,847,6
countries,844,6
market,841,6
innovation,830,6
better,798,6
trade,797,6
citizens,788,6
private,783,6
state,780,6
develop,773,6
need,768,6
transport,758,6
promote,755,6
life,747,6
technologies,737,6
companies,737,6
culture,733,6
security,731,6
provide,731,6
needs,726,6
projects,725,6
information,721,6
investments,715,6
foreign,712,6
policies,710,6
training,707,6
increased,703,6
jobs,694,6
regional,689,6
global,688,6
health,687,6
financial,667,6
institutions,661,6
strong,657,6
environment,643,6
cities,634,6
conditions,627,6
universities,627,6
way,623,6
well,621,6
effective,620,6
level,620,6
time,618,6
framework,618,6
made,614,6
sustainable,613,6
party,13717,7
tax,3918,7
must,2547,7
public,2473,7
new,2448,7
social,2405,7
want,2183,7
economic,1973,7
government,1950,7
people,1894,7
system,1813,7
also,1813,7
economy,1683,7
policy,1565,7
work,1555,7
energy,1488,7
support,1422,7
state,1386,7
make,1348,7
development,1338,7
income,1318,7
ensure,1308,7
reduce,1217,7
private,1113,7
financial,1102,7
sector,1079,7
services,1074,7
market,1054,7
security,1014,7
companies,1011,7
increase,1010,7
employment,987,7
national,982,7
local,977,7
need,958,7
health,953,7
federal,917,7
use,905,7
pension,902,7
time,902,7
investment,894,7
future,881,7
housing,871,7
growth,861,7
pay,861,7
citizens,847,7
order,844,7
jobs,837,7
way,833,7
insurance,799,7
would,794,7
reform,790,7
end,785,7
country,771,7
workers,764,7
trade,742,7
costs,741,7
working,741,7
law,735,7
business,730,7
without,729,7
better,726,7
policies,717,7
small,716,7
provide,713,7
resources,696,7
taxes,686,7
fair,683,7
countries,677,7
create,674,7
education,666,7
one,665,7
care,641,7
free,640,7
measures,638,7
benefits,629,7
european,628,7
protection,624,7
rates,614,7
capital,614,7
help,614,7
high,613,7
society,610,7
world,610,7
unemployment,606,7
rights,605,7
change,596,7
businesses,590,7
production,586,7
labour,585,7
benefit,583,7
made,579,7
industry,578,7
debt,577,7
improve,570,7
take,570,7
climate,566,7
conditions,565,7
power,564,7
international,557,7
party,10861,8
education,4783,8
people,3302,8
health,2982,8
children,2957,8
care,2776,8
support,2492,8
social,2283,8
must,2165,8
schools,2104,8
want,1958,8
school,1895,8
work,1883,8
services,1841,8
ensure,1767,8
training,1767,8
also,1652,8
young,1604,8
new,1510,8
women,1466,8
system,1401,8
need,1383,8
family,1324,8
public,1293,8
students,1093,8
provide,1090,8
child,1086,8
life,1065,8
make,1030,8
local,1029,8
families,1005,8
parents,989,8
rights,928,8
needs,927,8
educational,926,8
opportunities,910,8
every,909,8
access,897,8
teachers,860,8
development,841,8
free,823,8
quality,810,8
state,808,8
youth,799,8
working,794,8
help,794,8
right,772,8
national,763,8
time,756,8
society,755,8
employment,729,8
continue,717,8
improve,709,8
citizens,705,8
special,690,8
programs,677,8
sports,665,8
vocational,656,8
order,656,8
better,648,8
equal,645,8
service,645,8
disabilities,642,8
learning,641,8
age,632,8
use,616,8
government,604,8
disabled,602,8
good,600,8
including,596,8
policy,595,8
well,592,8
increase,591,8
medical,580,8
conditions,572,8
take,571,8
centers,570,8
community,569,8
institutions,559,8
insurance,556,8
develop,553,8
necessary,546,8
home,537,8
standards,535,8
possible,530,8
skills,529,8
federal,528,8
future,526,8
private,519,8
country,518,8
law,517,8
housing,517,8
provided,516,8
protection,511,8
participation,503,8
especially,503,8
security,503,8
way,503,8
basic,500,8
workers,480,8
