Country,Year,0,1,2,3,4,5,6,7
ABD,1960,6.21%,7.51%,13.04%,5.16%,6.38%,9.21%,11.58%,9.21%
ABD,1964,1.02%,4.08%,9.59%,1.39%,1.66%,7.74%,9.73%,1.66%
ABD,1968,4.91%,10.47%,7.67%,5.43%,2.83%,6.66%,7.38%,5.69%
ABD,1972,10.25%,6.37%,13.78%,7.63%,5.17%,12.85%,10.27%,11.17%
ABD,1976,4.15%,3.53%,11.37%,3.37%,2.74%,6.65%,10.68%,9.46%
ABD,1980,8.56%,7.80%,14.72%,6.52%,6.90%,13.54%,10.55%,11.14%
ABD,1984,10.35%,7.84%,15.78%,5.34%,2.08%,14.35%,13.28%,12.74%
ABD,1988,5.47%,5.32%,9.51%,4.71%,1.34%,4.30%,6.64%,6.28%
ABD,1992,6.57%,5.22%,11.92%,5.54%,1.31%,8.16%,7.97%,9.36%
ABD,1996,8.48%,4.21%,14.83%,3.18%,0.95%,8.48%,9.66%,6.99%
ABD,2000,9.40%,7.64%,17.66%,8.56%,2.63%,8.76%,11.41%,9.45%
ABD,2004,12.20%,8.77%,12.09%,7.76%,2.33%,6.45%,14.49%,7.06%
ABD,2008,4.00%,5.01%,12.44%,6.97%,1.97%,5.48%,9.23%,8.91%
ABD,2012,5.47%,5.07%,12.45%,4.80%,1.56%,6.47%,9.12%,7.73%
ABD,2016,3.58%,4.52%,18.90%,6.38%,1.28%,10.53%,8.88%,7.80%
ABD,2020,5.85%,5.42%,23.27%,7.15%,1.48%,11.71%,8.45%,10.35%
Türkiye,1954,23.08%,0%,38.46%,15.38%,0%,0%,15.38%,7.69%
Türkiye,1961,1.81%,12.63%,18.99%,14.63%,17.01%,3.78%,24.59%,6.75%
Türkiye,1965,0.89%,18.95%,12.60%,8.21%,14.47%,10.47%,16.98%,14.79%
Türkiye,1969,4.74%,4.74%,13.71%,5.38%,6.07%,16.56%,10.17%,16.56%
Türkiye,1995,4.17%,10.42%,15.83%,7.29%,6.25%,3.12%,12.50%,11.46%
Türkiye,2002,4.52%,17.13%,9.50%,7.22%,14.52%,9.50%,9.66%,19.63%
Türkiye,2007,18.31%,22.39%,8.31%,7.86%,11.60%,3.88%,13.67%,11.24%
Türkiye,2011,10.18%,11.85%,5.03%,6.13%,5.91%,1.37%,7.60%,4.55%
Türkiye,2015,15.49%,20.37%,12.77%,12.28%,11.97%,2.81%,11.94%,11.55%
Türkiye,2018,12.59%,9.65%,7.60%,7.11%,6.75%,3.26%,6.83%,6.26%
Bulgaristan,1994,7.27%,27.27%,45.45%,21.82%,69.09%,59.09%,36.36%,54.55%
Bulgaristan,2009,9.09%,48.48%,15.15%,25.25%,93.93%,23.23%,25.25%,26.26%
Bulgaristan,2013,28.57%,20.00%,12.37%,8.14%,24.09%,21.81%,6.00%,13.52%
Bulgaristan,2014,3.80%,14.60%,11.85%,9.50%,19.65%,9.81%,9.52%,11.67%
Bulgaristan,2017,6.73%,10.29%,5.68%,6.74%,16.45%,0.88%,3.97%,5.52%
